Ticker,Date,Current_Value,Previous_Value,Previous_Date,Difference_Num,Difference_Pct,Check_Type,Threshold_Applied,Direction
DJCA,2019-03-22,8451.46,8580.07,2019-03-21,-128.61,-0.015,DoD,0.01,down
DJCA,2019-04-01,8703.81,8598.46,2019-03-29,105.35,0.0123,DoD,0.01,up
DJCA,2019-04-12,8807.05,8717.36,2019-04-11,89.69,0.0103,DoD,0.01,up
DJCA,2019-05-07,8654.69,8799.73,2019-05-06,-145.04,-0.0165,DoD,0.01,down
DJCA,2019-05-13,8475.82,8640.08,2019-05-10,-164.26,-0.019,DoD,0.01,down
DJCA,2019-05-28,8426.17,8523.01,2019-05-24,-96.84,-0.0114,DoD,0.01,down
DJCA,2019-05-31,8253.53,8356.25,2019-05-30,-102.72,-0.0123,DoD,0.01,down
DJCA,2019-06-04,8441.96,8272.52,2019-06-03,169.44,0.0205,DoD,0.01,up
DJCA,2019-06-05,8531.34,8441.96,2019-06-04,89.38,0.0106,DoD,0.01,up
DJCA,2019-06-18,8741.3,8653.93,2019-06-17,87.37,0.0101,DoD,0.01,up
DJCA,2019-07-12,8999.09,8907.61,2019-07-11,91.48,0.0103,DoD,0.01,up
DJCA,2019-07-17,8929.16,9028.06,2019-07-16,-98.9,-0.011,DoD,0.01,down
DJCA,2019-08-01,8798.44,8895.21,2019-07-31,-96.77,-0.0109,DoD,0.01,down
DJCA,2019-08-05,8524.96,8769.46,2019-08-02,-244.5,-0.0279,DoD,0.01,down
DJCA,2019-08-05,8524.96,8997.47,2019-07-29,-472.51,-0.0525,WoW,0.05,down
DJCA,2019-08-06,8632.73,8524.96,2019-08-05,107.77,0.0126,DoD,0.01,up
DJCA,2019-08-08,8751.5,8629.23,2019-08-07,122.27,0.0142,DoD,0.01,up
DJCA,2019-08-12,8600.79,8711.58,2019-08-09,-110.79,-0.0127,DoD,0.01,down
DJCA,2019-08-13,8695.74,8600.79,2019-08-12,94.95,0.011,DoD,0.01,up
DJCA,2019-08-14,8464.66,8695.74,2019-08-13,-231.08,-0.0266,DoD,0.01,down
DJCA,2019-08-16,8592.81,8486.36,2019-08-15,106.45,0.0125,DoD,0.01,up
DJCA,2019-08-23,8496.74,8702.15,2019-08-22,-205.41,-0.0236,DoD,0.01,down
DJCA,2019-08-26,8587.56,8496.74,2019-08-23,90.82,0.0107,DoD,0.01,up
